Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S50723995,Mallard (Domestic type),Anas platyrhynchos (Domestic type),486,1,US-FL,Hillsborough,L4080634,Tripe Creek Subdivision,27.7975778,-82.2746213,2018-12-16,02:46 PM,eBird - Traveling Count,46,1,.805,,3
S43620684,Mottled Duck,Anas fulvigula,509,1,US-FL,Brevard,L123565,Merritt Island NWR (Please consider using more specific locations),28.6628762,-80.7234192,2018-03-13,11:39 AM,eBird - Traveling Count,268,1,12.875,,1
S52370569,Mottled Duck,Anas fulvigula,509,2,US-FL,Collier,L8556468,CRCA Station 1,26.418806,-81.399683,2019-02-04,07:00 AM,eBird - Traveling Count,181,1,.402,,2
S52875194,Mottled Duck,Anas fulvigula,509,4,US-FL,Collier,L8647039,CRCA Station 2,26.419262,-81.383801,2019-02-18,10:51 AM,eBird - Stationary Count,5,1,,,1
S51463443,Mottled Duck,Anas fulvigula,509,1,US-FL,Collier,L8392660,CRCA Station 4,26.42024,-81.315394,2019-01-08,07:13 AM,eBird - Traveling Count,237,1,.805,,2
S52926882,Mottled Duck,Anas fulvigula,509,2,US-FL,Collier,L8404372,CRCA Station 5,26.422231,-81.304529,2019-02-19,06:45 AM,eBird - Stationary Count,224,1,,,1
S38672908,Mottled Duck,Anas fulvigula,509,6,US-FL,Hardee,L6187261,"33834, Bowling Green US-FL (27.6395,-82.0436)",27.639537,-82.043607,2017-08-16,01:32 PM,eBird - Traveling Count,300,1,1.609,,2
S35745745,Mottled Duck,Anas fulvigula,509,2,US-FL,Hillsborough,L3224855,Bullfrog Creek Rd retention pond,27.814757,-82.349542,2017-04-06,05:18 PM,eBird - Traveling Count,44,1,.805,,1
S48692484,Mottled Duck,Anas fulvigula,509,4,US-FL,Hillsborough,L1203771,Ragan Park,27.9783471,-82.445333,2018-09-23,11:30 AM,eBird - Traveling Count,23,1,.805,,1
S48785893,Mottled Duck,Anas fulvigula,509,4,US-FL,Hillsborough,L1203771,Ragan Park,27.9783471,-82.445333,2018-09-27,07:19 PM,eBird - Traveling Count,18,1,.805,,1
S35354073,Mottled Duck,Anas fulvigula,509,2,US-FL,Hillsborough,L5141906,West tract,27.684057,-82.193682,2017-03-22,02:54 PM,eBird - Traveling Count,400,1,9.656,,1
S40380574,Mottled Duck,Anas fulvigula,509,11,US-FL,Manatee,L6451602,Manson Jenkins (private access),27.553237,-82.069894,2017-11-08,10:25 AM,eBird - Traveling Count,324,1,1.609,,2
S42143172,Mottled Duck,Anas fulvigula,509,2,US-FL,Orange,L298649,Lake Apopka Wildlife Drive,28.6690476,-81.56128,2018-01-21,11:53 AM,eBird - Traveling Count,240,1,19.312,,3
S43593904,Mottled Duck,Anas fulvigula,509,12,US-FL,Volusia,L1509565,Bulow Creek Area,29.4072388,-81.1234779,2018-03-12,02:02 PM,eBird - Traveling Count,25,1,.805,,1
S50599938,Mallard x Mottled Duck (hybrid),Anas platyrhynchos x fulvigula,512,2,US-FL,Collier,L8241815,Bridge 030138,26.418873,-81.339443,2018-12-11,02:44 PM,eBird - Stationary Count,59,1,,,3
S44878213,Mallard x Mottled Duck (hybrid),Anas platyrhynchos x fulvigula,512,1,US-FL,Collier,L638726,Immokalee Ranch--C.R. 846,26.4194685,-81.3671869,2018-04-23,10:47 AM,eBird - Traveling Count,475,1,3.219,,3
S50717869,Mallard x Mottled Duck (hybrid),Anas platyrhynchos x fulvigula,512,10,US-FL,Hillsborough,L8262898,"13154–13208 Summerfield Crossing Blvd, Riverview US-FL (27.7931,-82.3285)",27.793058,-82.328465,2018-12-16,01:26 PM,eBird - Stationary Count,4,1,,,3
S35956336,Mallard x Mottled Duck (hybrid),Anas platyrhynchos x fulvigula,512,4,US-FL,Hillsborough,L684255,Cockroach Bay Preserve and surrounding area,27.6885443,-82.5014019,2017-04-14,04:01 PM,eBird - Traveling Count,131,1,4.828,,1
